name,count,total
wt,55,100
wt,50,100
wt,45,100
wt,45,100
wt,52,100
wt,58,100
wt,61,100
wt,46,100
wt,52,100
wt,55,100
wt,56,100
wt,51,100
wt,45,100
wt,44,100
wt,40,100
wt,42,100
wt,58,100
wt,55,100
wt,55,100
wt,39,100
wt,55,100
wt,43,100
wt,52,100
wt,48,100
wt,62,100
wt,50,100
wt,49,100
wt,49,100
wt,45,100
wt,49,100
wt,57,100
wt,52,100
wt,39,100
wt,48,100
wt,50,100
wt,39,100
wt,57,100
wt,42,100
wt,48,100
wt,50,100
wt,42,100
wt,56,100
wt,49,100
wt,54,100
wt,44,100
wt,51,100
wt,41,100
wt,53,100
wt,43,100
wt,51,100
mt,39,100
mt,42,100
mt,35,100
mt,39,100
mt,41,100
mt,36,100
mt,36,100
mt,41,100
mt,41,100
mt,43,100
mt,39,100
mt,33,100
mt,46,100
mt,44,100
mt,44,100
mt,47,100
mt,45,100
mt,45,100
mt,44,100
mt,49,100
mt,47,100
mt,47,100
mt,53,100
mt,42,100
mt,43,100
mt,37,100
mt,48,100
mt,48,100
mt,44,100
mt,44,100
mt,43,100
mt,38,100
mt,39,100
mt,46,100
mt,46,100
mt,38,100
mt,40,100
mt,39,100
mt,47,100
mt,44,100
mt,40,100
mt,48,100
mt,42,100
mt,48,100
mt,49,100
mt,45,100
mt,39,100
mt,37,100
mt,42,100
mt,42,100
