n,delta,p,corr_p
1000,60,0.004,0.004
1000,60,0.004,0.004
1000,60,0.001,0.001
1000,60,0.004,0.004
10000,60,0.0042,0.0042
10000,60,0.0027,0.0027
10000,60,0.0033,0.0033
10000,60,0.0043,0.0043
10000,60,0.0035,0.0035
10000,60,0.004,0.004
10000,60,0.0028,0.0028
10000,60,0.0032,0.0032
10000,60,0.0045,0.0045
10000,60,0.0041,0.0041
100000,60,0.00313,0.00313
100000,60,0.0034,0.0034
100000,60,0.00375,0.00375
100000,60,0.00326,0.00326
100000,60,0.00379,0.00379
100000,60,0.00312,0.00312
100000,60,0.00348,0.00348
100000,60,0.00321,0.00321
100000,60,0.00318,0.00318
100000,60,0.00335,0.00335
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
100,65,0.0,0.01
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
1000,65,0.0,0.001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
10000,65,0.0,0.0001
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100000,65,0.0,1e-05
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
100,70,0.0,0.01
1000,70,0.0,0.001
1000,70,0.0,0.001
1000,70,0.001,0.001
1000,70,0.0,0.001
1000,70,0.001,0.001
1000,70,0.0,0.001
1000,70,0.0,0.001
1000,70,0.0,0.001
1000,70,0.0,0.001
1000,70,0.0,0.001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
10000,70,0.0001,0.0001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
10000,70,0.0,0.0001
100000,70,3e-05,3e-05
100000,70,6e-05,6e-05
100000,70,4e-05,4e-05
100000,70,0.0,1e-05
100000,70,4e-05,4e-05
100000,70,2e-05,2e-05
100000,70,1e-05,1e-05
100000,70,2e-05,2e-05
100000,70,3e-05,3e-05
100000,70,0.0,1e-05
100,75,0.13,0.13
100,75,0.04,0.04
100,75,0.11,0.11
100,75,0.08,0.08
100,75,0.06,0.06
100,75,0.06,0.06
100,75,0.07,0.07
100,75,0.09,0.09
100,75,0.11,0.11
100,75,0.06,0.06
1000,75,0.084,0.084
1000,75,0.078,0.078
1000,75,0.085,0.085
1000,75,0.079,0.079
1000,75,0.083,0.083
1000,75,0.094,0.094
1000,75,0.106,0.106
1000,75,0.087,0.087
1000,75,0.088,0.088
1000,75,0.096,0.096
10000,75,0.0929,0.0929
10000,75,0.0898,0.0898
10000,75,0.0895,0.0895
10000,75,0.0905,0.0905
10000,75,0.0898,0.0898
10000,75,0.0826,0.0826
10000,75,0.0924,0.0924
10000,75,0.0868,0.0868
10000,75,0.0874,0.0874
10000,75,0.0885,0.0885
100000,75,0.08634,0.08634
100000,75,0.08786,0.08786
100000,75,0.08804,0.08804
100000,75,0.08928,0.08928
100000,75,0.08869,0.08869
100000,75,0.08747,0.08747
100000,75,0.08749,0.08749
100000,75,0.08782,0.08782
100000,75,0.08788,0.08788
100000,75,0.08835,0.08835
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
100,80,0.0,0.01
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
1000,80,0.0,0.001
10000,80,0.0,0.0001
10000,80,0.0002,0.0002
10000,80,0.0002,0.0002
10000,80,0.0002,0.0002
10000,80,0.0002,0.0002
10000,80,0.0005,0.0005
10000,80,0.0002,0.0002
10000,80,0.0001,0.0001
10000,80,0.0003,0.0003
10000,80,0.0,0.0001
100000,80,0.0002,0.0002
100000,80,0.00016,0.00016
100000,80,0.00012,0.00012
100000,80,0.0001,0.0001
100000,80,0.0001,0.0001
100000,80,5e-05,5e-05
100000,80,7e-05,7e-05
100000,80,0.00013,0.00013
100000,80,9e-05,9e-05
100000,80,0.00022,0.00022
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
100,85,0.0,0.01
1000,85,0.0,0.001
1000,85,0.0,0.001
1000,85,0.001,0.001
1000,85,0.0,0.001
1000,85,0.001,0.001
1000,85,0.0,0.001
1000,85,0.0,0.001
1000,85,0.0,0.001
1000,85,0.001,0.001
1000,85,0.0,0.001
10000,85,0.0005,0.0005
10000,85,0.0005,0.0005
10000,85,0.0005,0.0005
10000,85,0.0,0.0001
10000,85,0.0005,0.0005
10000,85,0.0002,0.0002
10000,85,0.0004,0.0004
10000,85,0.0001,0.0001
10000,85,0.0001,0.0001
10000,85,0.0003,0.0003
100000,85,0.00036,0.00036
100000,85,0.00031,0.00031
100000,85,0.00029,0.00029
100000,85,0.00027,0.00027
100000,85,0.00026,0.00026
100000,85,0.00027,0.00027
100000,85,0.00025,0.00025
100000,85,0.00019,0.00019
100000,85,0.00039,0.00039
100000,85,0.00015,0.00015
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
100,90,0.0,0.01
1000,90,0.0,0.001
1000,90,0.001,0.001
1000,90,0.001,0.001
1000,90,0.0,0.001
1000,90,0.0,0.001
1000,90,0.0,0.001
1000,90,0.0,0.001
1000,90,0.0,0.001
1000,90,0.0,0.001
1000,90,0.0,0.001
10000,90,0.0,0.0001
10000,90,0.0,0.0001
10000,90,0.0004,0.0004
10000,90,0.0001,0.0001
10000,90,0.0003,0.0003
10000,90,0.0,0.0001
10000,90,0.0,0.0001
10000,90,0.0003,0.0003
10000,90,0.0004,0.0004
10000,90,0.0003,0.0003
100000,90,0.00019,0.00019
100000,90,0.00014,0.00014
100000,90,0.00015,0.00015
100000,90,0.00011,0.00011
100000,90,0.00014,0.00014
100000,90,0.00013,0.00013
100000,90,0.00017,0.00017
100000,90,0.00013,0.00013
100000,90,0.00012,0.00012
100000,90,0.00012,0.00012
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
100,95,0.0,0.01
1000,95,0.0,0.001
1000,95,0.001,0.001
1000,95,0.0,0.001
1000,95,0.001,0.001
1000,95,0.0,0.001
1000,95,0.0,0.001
1000,95,0.0,0.001
1000,95,0.0,0.001
1000,95,0.0,0.001
1000,95,0.001,0.001
10000,95,0.0,0.0001
10000,95,0.0001,0.0001
10000,95,0.0,0.0001
10000,95,0.0003,0.0003
10000,95,0.0003,0.0003
10000,95,0.0001,0.0001
10000,95,0.0001,0.0001
10000,95,0.0,0.0001
10000,95,0.0,0.0001
10000,95,0.0002,0.0002
100000,95,0.00012,0.00012
100000,95,8e-05,8e-05
100000,95,0.00011,0.00011
100000,95,5e-05,5e-05
100000,95,5e-05,5e-05
100000,95,3e-05,3e-05
100000,95,0.00013,0.00013
100000,95,0.0001,0.0001
100000,95,0.00011,0.00011
100000,95,7e-05,7e-05
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
100,100,0.0,0.01
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
1000,100,0.0,0.001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
10000,100,0.0,0.0001
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100000,100,0.0,1e-05
100,105,0.0,0.01
100,105,0.0,0.01
100,105,0.0,0.01
100,105,0.0,0.01
100,105,0.01,0.01
100,105,0.0,0.01
100,105,0.0,0.01
100,105,0.0,0.01
100,105,0.0,0.01
100,105,0.0,0.01
1000,105,0.001,0.001
1000,105,0.0,0.001
1000,105,0.0,0.001
1000,105,0.0,0.001
1000,105,0.0,0.001
1000,105,0.0,0.001
1000,105,0.0,0.001
1000,105,0.001,0.001
1000,105,0.0,0.001
1000,105,0.0,0.001
10000,105,0.0001,0.0001
10000,105,0.0007,0.0007
10000,105,0.0001,0.0001
10000,105,0.0004,0.0004
10000,105,0.0002,0.0002
10000,105,0.0002,0.0002
10000,105,0.0001,0.0001
10000,105,0.0002,0.0002
10000,105,0.0003,0.0003
10000,105,0.0003,0.0003
100000,105,0.00031,0.00031
100000,105,0.00024,0.00024
100000,105,0.00025,0.00025
100000,105,0.00021,0.00021
100000,105,0.0002,0.0002
100000,105,0.00027,0.00027
100000,105,0.00022,0.00022
100000,105,0.00015,0.00015
100000,105,0.00037,0.00037
100000,105,0.00019,0.00019
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
100,110,0.0,0.01
1000,110,0.0,0.001
1000,110,0.0,0.001
1000,110,0.0,0.001
1000,110,0.001,0.001
1000,110,0.0,0.001
1000,110,0.0,0.001
1000,110,0.0,0.001
1000,110,0.0,0.001
1000,110,0.0,0.001
1000,110,0.0,0.001
10000,110,0.0001,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
10000,110,0.0,0.0001
100000,110,2e-05,2e-05
100000,110,1e-05,1e-05
100000,110,2e-05,2e-05
100000,110,0.0,1e-05
100000,110,2e-05,2e-05
100000,110,2e-05,2e-05
100000,110,2e-05,2e-05
100000,110,1e-05,1e-05
100000,110,0.0,1e-05
100000,110,1e-05,1e-05
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
100,115,0.0,0.01
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
1000,115,0.0,0.001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
10000,115,0.0,0.0001
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100000,115,1e-05,1e-05
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100000,115,0.0,1e-05
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
100,120,0.0,0.01
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
1000,120,0.0,0.001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
10000,120,0.0,0.0001
100000,120,1e-05,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100000,120,0.0,1e-05
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
100,125,0.0,0.01
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
1000,125,0.0,0.001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
10000,125,0.0,0.0001
