name,count,total
wt,49,100
wt,46,100
wt,46,100
wt,58,100
wt,45,100
wt,49,100
wt,52,100
wt,51,100
wt,55,100
wt,49,100
wt,50,100
wt,56,100
wt,51,100
wt,52,100
wt,49,100
wt,40,100
wt,50,100
wt,50,100
wt,50,100
wt,56,100
wt,48,100
wt,49,100
wt,43,100
wt,51,100
wt,45,100
wt,56,100
wt,54,100
wt,52,100
wt,45,100
wt,47,100
wt,54,100
wt,52,100
wt,54,100
wt,43,100
wt,47,100
wt,51,100
wt,55,100
wt,50,100
wt,56,100
wt,47,100
wt,50,100
wt,48,100
wt,57,100
wt,45,100
wt,47,100
wt,52,100
wt,51,100
wt,52,100
wt,55,100
wt,50,100
mt,54,100
mt,51,100
mt,64,100
mt,59,100
mt,47,100
mt,59,100
mt,59,100
mt,60,100
mt,60,100
mt,54,100
mt,56,100
mt,53,100
mt,57,100
mt,51,100
mt,57,100
mt,65,100
mt,48,100
mt,53,100
mt,53,100
mt,60,100
mt,47,100
mt,48,100
mt,50,100
mt,49,100
mt,53,100
mt,53,100
mt,55,100
mt,51,100
mt,57,100
mt,48,100
mt,55,100
mt,55,100
mt,46,100
mt,54,100
mt,56,100
mt,56,100
mt,52,100
mt,50,100
mt,50,100
mt,56,100
mt,48,100
mt,52,100
mt,51,100
mt,44,100
mt,56,100
mt,52,100
mt,47,100
mt,41,100
mt,47,100
mt,53,100
