n,dist,p
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
100,0.4,0.01
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
1000,0.4,0.001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
10000,0.4,0.0001
