name,count,total
wt,61,100
wt,47,100
wt,57,100
wt,56,100
wt,40,100
wt,54,100
wt,59,100
wt,46,100
wt,49,100
wt,46,100
wt,48,100
wt,50,100
wt,47,100
wt,50,100
wt,47,100
wt,54,100
wt,51,100
wt,57,100
wt,61,100
wt,49,100
wt,52,100
wt,49,100
wt,53,100
wt,52,100
wt,46,100
wt,53,100
wt,57,100
wt,57,100
wt,56,100
wt,56,100
wt,51,100
wt,52,100
wt,49,100
wt,50,100
wt,53,100
wt,50,100
wt,40,100
wt,42,100
wt,41,100
wt,45,100
wt,57,100
wt,48,100
wt,53,100
wt,52,100
wt,60,100
wt,47,100
wt,51,100
wt,54,100
wt,48,100
wt,46,100
mt,4,100
mt,3,100
mt,1,100
mt,4,100
mt,6,100
mt,1,100
mt,9,100
mt,3,100
mt,4,100
mt,6,100
mt,2,100
mt,6,100
mt,5,100
mt,5,100
mt,5,100
mt,4,100
mt,4,100
mt,2,100
mt,5,100
mt,6,100
mt,1,100
mt,7,100
mt,2,100
mt,6,100
mt,3,100
mt,6,100
mt,6,100
mt,3,100
mt,4,100
mt,6,100
mt,8,100
mt,6,100
mt,4,100
mt,4,100
mt,3,100
mt,7,100
mt,6,100
mt,5,100
mt,4,100
mt,4,100
mt,4,100
mt,2,100
mt,5,100
mt,9,100
mt,7,100
mt,2,100
mt,5,100
mt,6,100
mt,3,100
mt,5,100
