name,count,total
wt,58,100
wt,53,100
wt,44,100
wt,52,100
wt,44,100
wt,54,100
wt,47,100
wt,41,100
wt,50,100
wt,36,100
wt,64,100
wt,60,100
wt,52,100
wt,44,100
wt,57,100
wt,43,100
wt,43,100
wt,48,100
wt,50,100
wt,54,100
wt,46,100
wt,46,100
wt,53,100
wt,51,100
wt,44,100
wt,54,100
wt,50,100
wt,47,100
wt,54,100
wt,53,100
wt,49,100
wt,52,100
wt,52,100
wt,52,100
wt,46,100
wt,51,100
wt,51,100
wt,57,100
wt,50,100
wt,53,100
wt,46,100
wt,42,100
wt,45,100
wt,45,100
wt,49,100
wt,50,100
wt,50,100
wt,43,100
wt,53,100
wt,54,100
mt,65,100
mt,76,100
mt,66,100
mt,75,100
mt,71,100
mt,72,100
mt,75,100
mt,78,100
mt,64,100
mt,76,100
mt,79,100
mt,67,100
mt,62,100
mt,73,100
mt,65,100
mt,75,100
mt,71,100
mt,74,100
mt,73,100
mt,77,100
mt,84,100
mt,69,100
mt,70,100
mt,77,100
mt,65,100
mt,61,100
mt,66,100
mt,62,100
mt,68,100
mt,67,100
mt,67,100
mt,67,100
mt,68,100
mt,61,100
mt,73,100
mt,67,100
mt,79,100
mt,76,100
mt,78,100
mt,73,100
mt,65,100
mt,70,100
mt,64,100
mt,70,100
mt,68,100
mt,76,100
mt,66,100
mt,71,100
mt,67,100
mt,75,100
