name,count,total
wt,49,100
wt,48,100
wt,53,100
wt,49,100
wt,50,100
wt,54,100
wt,51,100
wt,56,100
wt,50,100
wt,52,100
wt,39,100
wt,58,100
wt,45,100
wt,53,100
wt,45,100
wt,61,100
wt,48,100
wt,53,100
wt,54,100
wt,51,100
wt,45,100
wt,50,100
wt,53,100
wt,55,100
wt,47,100
wt,47,100
wt,62,100
wt,55,100
wt,55,100
wt,45,100
wt,54,100
wt,51,100
wt,47,100
wt,53,100
wt,52,100
wt,50,100
wt,38,100
wt,51,100
wt,50,100
wt,48,100
wt,52,100
wt,48,100
wt,51,100
wt,49,100
wt,41,100
wt,53,100
wt,57,100
wt,45,100
wt,53,100
wt,47,100
mt,1,100
mt,0,100
mt,3,100
mt,2,100
mt,1,100
mt,1,100
mt,4,100
mt,3,100
mt,2,100
mt,1,100
mt,1,100
mt,2,100
mt,5,100
mt,1,100
mt,3,100
mt,1,100
mt,0,100
mt,2,100
mt,2,100
mt,3,100
mt,5,100
mt,2,100
mt,1,100
mt,4,100
mt,3,100
mt,1,100
mt,3,100
mt,1,100
mt,2,100
mt,0,100
mt,2,100
mt,1,100
mt,4,100
mt,2,100
mt,2,100
mt,2,100
mt,3,100
mt,1,100
mt,3,100
mt,1,100
mt,1,100
mt,0,100
mt,3,100
mt,2,100
mt,2,100
mt,3,100
mt,6,100
mt,1,100
mt,1,100
mt,2,100
