name,count,total
wt,48,100
wt,51,100
wt,49,100
wt,56,100
wt,54,100
wt,54,100
wt,45,100
wt,54,100
wt,58,100
wt,47,100
wt,46,100
wt,44,100
wt,55,100
wt,56,100
wt,45,100
wt,44,100
wt,58,100
wt,57,100
wt,52,100
wt,47,100
wt,45,100
wt,52,100
wt,55,100
wt,47,100
wt,57,100
wt,54,100
wt,54,100
wt,44,100
wt,48,100
wt,50,100
wt,45,100
wt,54,100
wt,38,100
wt,53,100
wt,42,100
wt,45,100
wt,49,100
wt,52,100
wt,49,100
wt,42,100
wt,53,100
wt,51,100
wt,59,100
wt,50,100
wt,44,100
wt,51,100
wt,58,100
wt,53,100
wt,47,100
wt,45,100
mt,15,100
mt,15,100
mt,14,100
mt,20,100
mt,12,100
mt,8,100
mt,9,100
mt,9,100
mt,8,100
mt,11,100
mt,14,100
mt,11,100
mt,13,100
mt,13,100
mt,10,100
mt,11,100
mt,15,100
mt,13,100
mt,10,100
mt,13,100
mt,15,100
mt,9,100
mt,14,100
mt,11,100
mt,11,100
mt,12,100
mt,8,100
mt,12,100
mt,11,100
mt,11,100
mt,10,100
mt,10,100
mt,18,100
mt,8,100
mt,13,100
mt,14,100
mt,11,100
mt,10,100
mt,12,100
mt,16,100
mt,10,100
mt,13,100
mt,17,100
mt,10,100
mt,7,100
mt,10,100
mt,10,100
mt,10,100
mt,15,100
mt,9,100
