name,count,total
wt,50,100
wt,44,100
wt,48,100
wt,51,100
wt,49,100
wt,54,100
wt,45,100
wt,55,100
wt,49,100
wt,46,100
wt,50,100
wt,42,100
wt,47,100
wt,50,100
wt,56,100
wt,51,100
wt,57,100
wt,41,100
wt,62,100
wt,46,100
wt,50,100
wt,47,100
wt,46,100
wt,46,100
wt,52,100
wt,51,100
wt,43,100
wt,50,100
wt,46,100
wt,51,100
wt,50,100
wt,55,100
wt,52,100
wt,44,100
wt,39,100
wt,44,100
wt,54,100
wt,48,100
wt,45,100
wt,45,100
wt,54,100
wt,54,100
wt,44,100
wt,41,100
wt,58,100
wt,55,100
wt,40,100
wt,48,100
wt,38,100
wt,52,100
mt,8,100
mt,7,100
mt,11,100
mt,5,100
mt,10,100
mt,10,100
mt,7,100
mt,7,100
mt,4,100
mt,12,100
mt,7,100
mt,7,100
mt,8,100
mt,8,100
mt,11,100
mt,4,100
mt,9,100
mt,6,100
mt,11,100
mt,12,100
mt,6,100
mt,9,100
mt,6,100
mt,9,100
mt,11,100
mt,8,100
mt,9,100
mt,9,100
mt,4,100
mt,7,100
mt,7,100
mt,10,100
mt,8,100
mt,10,100
mt,9,100
mt,6,100
mt,5,100
mt,6,100
mt,8,100
mt,9,100
mt,10,100
mt,8,100
mt,10,100
mt,8,100
mt,5,100
mt,4,100
mt,12,100
mt,14,100
mt,19,100
mt,4,100
