name,count,total
wt,47,100
wt,54,100
wt,56,100
wt,46,100
wt,46,100
wt,55,100
wt,43,100
wt,51,100
wt,46,100
wt,50,100
wt,53,100
wt,55,100
wt,58,100
wt,50,100
wt,44,100
wt,51,100
wt,53,100
wt,42,100
wt,39,100
wt,46,100
wt,42,100
wt,57,100
wt,55,100
wt,38,100
wt,53,100
wt,55,100
wt,45,100
wt,55,100
wt,52,100
wt,60,100
wt,54,100
wt,52,100
wt,51,100
wt,52,100
wt,39,100
wt,43,100
wt,51,100
wt,47,100
wt,46,100
wt,55,100
wt,46,100
wt,51,100
wt,47,100
wt,38,100
wt,50,100
wt,33,100
wt,52,100
wt,51,100
wt,45,100
wt,44,100
mt,39,100
mt,40,100
mt,28,100
mt,30,100
mt,25,100
mt,34,100
mt,30,100
mt,35,100
mt,25,100
mt,27,100
mt,29,100
mt,34,100
mt,27,100
mt,32,100
mt,32,100
mt,34,100
mt,33,100
mt,27,100
mt,37,100
mt,30,100
mt,32,100
mt,36,100
mt,27,100
mt,34,100
mt,33,100
mt,34,100
mt,31,100
mt,19,100
mt,26,100
mt,18,100
mt,36,100
mt,31,100
mt,29,100
mt,29,100
mt,31,100
mt,25,100
mt,33,100
mt,35,100
mt,36,100
mt,33,100
mt,34,100
mt,28,100
mt,31,100
mt,27,100
mt,24,100
mt,27,100
mt,28,100
mt,24,100
mt,28,100
mt,34,100
