name,count,total
wt,49,100
wt,61,100
wt,49,100
wt,49,100
wt,57,100
wt,43,100
wt,54,100
wt,43,100
wt,49,100
wt,52,100
wt,52,100
wt,47,100
wt,51,100
wt,47,100
wt,47,100
wt,47,100
wt,51,100
wt,47,100
wt,66,100
wt,50,100
wt,44,100
wt,47,100
wt,47,100
wt,45,100
wt,48,100
wt,56,100
wt,51,100
wt,53,100
wt,50,100
wt,49,100
wt,52,100
wt,45,100
wt,51,100
wt,49,100
wt,50,100
wt,55,100
wt,46,100
wt,51,100
wt,49,100
wt,46,100
wt,43,100
wt,49,100
wt,44,100
wt,52,100
wt,47,100
wt,41,100
wt,46,100
wt,57,100
wt,50,100
wt,48,100
mt,99,100
mt,99,100
mt,100,100
mt,98,100
mt,99,100
mt,99,100
mt,98,100
mt,99,100
mt,99,100
mt,97,100
mt,99,100
mt,97,100
mt,100,100
mt,98,100
mt,98,100
mt,99,100
mt,100,100
mt,100,100
mt,100,100
mt,96,100
mt,97,100
mt,99,100
mt,98,100
mt,100,100
mt,100,100
mt,98,100
mt,99,100
mt,99,100
mt,100,100
mt,100,100
mt,99,100
mt,99,100
mt,99,100
mt,99,100
mt,99,100
mt,100,100
mt,100,100
mt,100,100
mt,99,100
mt,99,100
mt,98,100
mt,99,100
mt,98,100
mt,99,100
mt,99,100
mt,100,100
mt,100,100
mt,99,100
mt,100,100
mt,100,100
