name,count,total
wt,47,100
wt,46,100
wt,49,100
wt,46,100
wt,54,100
wt,45,100
wt,52,100
wt,65,100
wt,48,100
wt,53,100
wt,49,100
wt,55,100
wt,44,100
wt,49,100
wt,61,100
wt,50,100
wt,48,100
wt,56,100
wt,56,100
wt,45,100
wt,47,100
wt,57,100
wt,44,100
wt,51,100
wt,52,100
wt,47,100
wt,47,100
wt,54,100
wt,46,100
wt,52,100
wt,47,100
wt,43,100
wt,52,100
wt,53,100
wt,44,100
wt,51,100
wt,44,100
wt,52,100
wt,46,100
wt,64,100
wt,46,100
wt,48,100
wt,53,100
wt,59,100
wt,51,100
wt,47,100
wt,58,100
wt,46,100
wt,44,100
wt,50,100
mt,88,100
mt,90,100
mt,89,100
mt,87,100
mt,88,100
mt,91,100
mt,88,100
mt,87,100
mt,87,100
mt,88,100
mt,89,100
mt,83,100
mt,87,100
mt,84,100
mt,79,100
mt,90,100
mt,86,100
mt,90,100
mt,85,100
mt,89,100
mt,88,100
mt,85,100
mt,88,100
mt,92,100
mt,89,100
mt,89,100
mt,90,100
mt,87,100
mt,89,100
mt,90,100
mt,89,100
mt,83,100
mt,89,100
mt,82,100
mt,90,100
mt,90,100
mt,87,100
mt,92,100
mt,90,100
mt,89,100
mt,84,100
mt,90,100
mt,91,100
mt,83,100
mt,88,100
mt,89,100
mt,85,100
mt,88,100
mt,83,100
mt,88,100
